ALDH1A1	ALDH1A1
KLK6	SNCA
ILF3	EIF2AK2
ILF3	SMN1
ILF3	FUS
PARP1	CENPB
ILF3	PRMT1
ILF3	XPO5
ILF3	DHX9
RAB27A	EXPH5
RAB27A	GDI1
RAB27A	UNC13D
HAND2	CENPB
RAB27A	RIMS1
RAB27A	RIMS2
RAB27A	RPH3A
TAF9	TP53
F11R	ASIP
F11R	TJP1
KAT5	E2F1
ITSN1	SCAMP1
PARP2	CENPB
KAT5	APBB1
KAT5	LRP1
ITSN1	HRAS
KAT5	BCL3
ITSN1	CDC42
KAT5	ATM
IL23R	STAT3
UBTF	CENPC1
ITSN1	STON2
KAT5	CREB1
DCLRE1C	PRKDC
KAT5	MYC
DAXX	CENPC1
MAP3K5	TNNT2
MAP4K4	RAP2A
MAPK1	MCL1
KAT5	DLEU1
KAT5	IK
DCLRE1C	ATM
KAT5	LMNA
DCLRE1C	BRCA1
KAT5	POLE2
KAT5	POLR3F
ATXN1	RNF31
DCLRE1C	NBN
KAT5	ZNF24
KAT5	PTPN4
KAT5	ARIH2
KAT5	C7orf20
DCLRE1C	RAD50
KAT5	CBX8
CENPF	CENPE
KAT5	CCT7
KAT5	CDC42
KAT5	CDK5RAP2
KAT5	CRELD1
KAT5	CSTF2
KAT5	EFNA1
KAT5	OGFOD2
KAT5	GEMIN7
KAT5	GSTO1
KAT5	HNRNPH3
BUB1B	CENPE
KAT5	CCDC106
KAT5	TELO2
DCLRE1C	MRE11A
KAT5	C1orf174
KAT5	NDUFA4L2
KAT5	MAD2L1BP
KAT5	FAM135B
KAT5	FAM173A
KAT5	FAM101B
KAT5	NAP1L5
GAST	CP
KAT5	NDUFV2
KAT5	PDCD5
KAT5	PLEKHA4
KAT5	RGL2
KAT5	SAT1
KAT5	SNAPIN
KAT5	APP
KAT5	SNRPD2
KAT5	SYN1
LTF	CP
KAT5	TRIB3
KAT5	BMI1
KAT5	STAT3
KAT5	HDAC7
KAT5	EDNRA
KAT5	HAP1
KAT5	GADD45G
KAT5	BARD1
KAT5	GAPDH
KAT5	MDM2
PLG	CP
KAT5	ZEB1
KAT5	AR
KAT5	HDAC1
KAT5	IL9R
KAT5	CDK1
KAT5	CCNB1
MAD1L1	UBTF
KAT5	H3F3B
KAT5	HIST2H4A
KAT5	HIST2H2AC
PROC	CP
KAT5	CREBBP
KAT5	EP300
KAT5	PLA2G4A
KAT5	ETV6
KAT5	PITX2
KAT5	NFKB1
MAD1L1	NEK2
CYTH2	ITGB2
ATP7A	CP
FN1	IGFBP5
FN1	ADAMTS4
ITGA5	ERBB2
ITGA5	FGFR2
HBG2	HBB
HBG2	HBG2
NLK	STAT3
MPO	CP
FBLN1	ITGB1
FBLN2	FBLN2
NRG1	IKZF4
FLT4	KDR
RPGR	NPM1
FLT4	ITGA5
HSPD1	HSPD1
MYBPC1	TTN
HSPG2	ITGA2
HSPG2	CTGF
CYTH2	TRIM23
CYTH2	ADORA2A
FPR2	FPR2
CYTH2	IPCEF1
RPGR	RPGRIP1
DHFR	HSPD1
HTN3	MUC7
B4GALT1	B4GALT1
B4GALT1	TUBB
B4GALT1	TUBA4A
RASA1	HSPD1
HIST1H1B	CDK2
SLC9A7	SCAMP2
SIRT1	HIST1H1B
ABAT	ABAT
PRNP	HSPD1
SLC9A7	SCAMP1
SLC9A7	SCAMP5
CTDP1	GTF2F1
NPR1	NPR1
RPGR	KIF3A
RPGR	KIFAP3
CA2	HSPD1
NPR1	NPPA
PPIB	IRF3
ATXN1	YY1AP1
RPGR	DCTN1
RPGR	SLC25A10
NPR2	NPR2
RPGR	DCTN2
RPGR	IFT88
RPGR	SMC1A
RPGR	SMC3
HSPE1	HSPD1
RPGR	YWHAE
RPGR	TUBG1
NPR3	NPR3
CTDP1	WDR77
RPGR	PDE6D
CTDP1	POLR2B
AKT1	GATA2
BAK1	HSPD1
CTDP1	PRMT5
CTDP1	NDRG2
GATA2	CEBPA
BSG	CAV1
BSG	BSG
RFX2	RFX2
COL2A1	COL2A1
GSN	FHIT
CASP3	HSPD1
CD48	IL18RAP
CD48	IL18R1
COL9A1	COMP
COL6A1	FGF7
GCK	INS
CD40	CAV1
ZNF467	STAT3
PRKACA	HSPD1
CD40	MAP3K8
NF1	TBPL1
CYP3A4	UGT2B7
HIST2H2BE	HSPD1
ADRB3	ADRB2
ADRB3	ADRB3
GPHN	PFN1
MGST1	MGST1
GPHN	DYNLL1
GPHN	DYNLL2
CASP9	HSPD1
MVK	EWSR1
MVK	MVK
IDUA	MPP3
TBL1X	TBL1XR1
RAC1	CHN1
HOXA5	TWIST1
IL6R	IL6R
GPHN	TUBA4A
WNT2	FZD1
HTR1A	HTR1A
DIO1	DIO1
CCKAR	CCK
GPHN	GLRB
AMELX	AMELX
GSTM3	GSTM3
GSTM1	GSTM1
GSTM4	GSTM4
GSTA2	GSTA1
CCKBR	CCK
DARC	CCL7
DARC	CXCL5
DARC	CCL17
DARC	CCL8
LALBA	LALBA
DCN	COL5A1
SHMT2	SHMT2
MEP1A	CCK
DPT	DCN
DPT	TGFB1
BCAM	EPB41
LMNA	PCBP1
EBF1	PAX5
MEP1B	CCK
LMNA	EGF
PRKCA	ATP2B2
PRKCB	PRKCB
PPP2CB	PRKCB
CDK1	MAPT
CDK5R1	STXBP1
PRKCA	CBL
ENPEP	CCK
PRKACA	MAP2
PRKCA	SHC1
CCKAR	CCKAR
CSF1	HLA-B
NOX1	CYBA
LMNA	PCGF2
LMNA	UBE2I
WAS	ACTC1
CSTF2	UBQLN4
CCKBR	CCKAR
BMP3	COL4A1
BMP3	COL4A2
LTBP1	FBN1
LTBP1	FBN2
CCKBR	CCKBR
ALPPL2	ALPPL2
ALPPL2	ALPP
LGALS1	ITGB1
MSX1	TP53
ATXN1	FAM48A
BMP1	HSPG2
BMP1	CHRD
ERCC2	RAD51
ATXN1	FAM46A
LNPEP	TNKS2
GPI	IGFBP3
RUNX1	CCND3
GPI	GPI
DRD2	CADPS
LPL	CETP
DRD2	CADPS2
FIGF	ITGA9
PLN	PLN
PLN	DMPK
GH1	GH1
APOA1	CETP
CASP3	MLH1
PLTP	ABCA1
RUNX1	EP300
UBQLN1	CHRNB4
GMPR	GMPR
BDNF	CPE
UBQLN1	CHRNA4
CYP11B2	CYP11A1
UBQLN1	CHRNA3
UBQLN1	ASCL1
UBQLN1	HES1
SLC16A2	SERPINA7
SLC16A2	THRA
TFF1	GKN2
BMP15	BMP15
ANPEP	TM4SF1
ATXN1	-
EMILIN1	EMILIN1
GNAS	GNGT1
BMP15	GDF9
DST	KRT5
DST	KRT14
RCC1	CHKA
C1RL	HP
GNA11	CHRM2
C5AR1	ARRB1
C5AR1	ARRB2
SERPINB2	SERPINB2
DMPK	ATN1
GNA15	CHRM2
COL6A2	FN1
ANXA6	TPD52
AKT1	HMOX1
HMOX1	POR
HMOX1	BLVRB
ANXA6	A2M
SAG	CHRM2
NID1	COL4A1
PC	GOT2
CA2	ANKZF1
CA2	PTCHD2
UMPS	CDC42EP3
UMPS	DLST
C4BPB	PROS1
TNFRSF8	ALK
GRK5	CHRM2
PPP3CB	SLC8A1
PPP3CB	SLC8A2
PPP3CB	SLC8A3
CAPNS1	ARHGEF6
GNA14	CHRM2
PRKACA	HDAC8
HSD17B10	APP
GNG2	CHRM2
HBD	HBD
STOM	ACCN2
STOM	ACCN1
NFYC	ATF6B
NFYC	ATF6
NFYC	SMAD2
NFYC	SMAD3
HBE1	HBA2
GZMB	CHRM3
NFYC	MYC
ITGAM	ELANE
MLC1	TPT1
ITGAM	THY1
FCGR3A	CD247
FCGR3A	IGHG1
ARF6	CHRM3
GJA3	PRKCG
PDC	CRX
CXCR2	CXCR1
FBN2	MFAP2
RUNX1T1	BCL6
CAPN3	DYSF
CSNK1A1	CHRM3
DGUOK	DGUOK
MYO7A	ACTA1
GRK6	CHRM3
PDGFC	SUMO1
CA3	CA3
CA4	SLC4A4
MAFG	MAFG
GNAQ	CHRM3
ACAT2	ACAT2
APRT	APRT
MADCAM1	MADCAM1
ADH1A	ADH1A
ADH5	ADH5
DMPK	UBQLN4
EEF1A2	CHRM4
ADRA1A	RGS2
FCER1G	KIR2DL4
PPP2R1B	CFTR
FCER1G	FCGR3A
ADRA1A	CXCR2
CHRNB2	CHRNA2
ADRA1A	CXCR1
MATN1	MATN1
LCK	CD79B
TYRP1	TYR
SYN1	S100A1
CHRNB4	CHRNA2
CDK2	CDX2
AMOT	MAGI1
PAK1	SYN1
PAK3	SYN1
CDX2	MAPK1
CDX2	GSK3B
CDX2	MAPK14
EWSR1	EWSR1
EWSR1	FLI1
ATXN1	EIF4ENIF1
TMOD1	TPM3
ITPR1	CCNB1
CTSH	SFTPB
ERCC5	POLR2A
ERCC5	GTF2H4
MTM1	MTMR12
CTSE	CTSE
CHRNB4	CHRNA4
CKS1B	CDKN1B
MAGEA1	SNW1
MAGEA1	HDAC1
CDC27	ANAPC10
COMP	FN1
ERCC6	PARP1
CDC25A	SMAD3
VSNL1	CHRNA4
CDC34	CDC34
CDC2L2	MYST2
CDX4	HOXA5
AR	KDM1A
AMY1A	MUC7
AMY1A	AKAP1
AMY1A	AKAP8
AR	CDK6
CHRNB4	CHRNA5
TSC2	CDKN1B
TSC2	SMAD2
TSC2	SMAD3
ATRX	RAD51
CDC42	ARHGEF6
CTSB	IGF1
CDC42	ARHGEF7
ATXN1	SAR1A
CTAG1B	HLA-DRB5
CTAG1B	HLA-DRB1
CTAG1B	HLA-DRB3
CTAG1B	HLA-DRB4
SUMO2	CENPC1
PTAFR	TYK2
CHRNA3	CHRNB4
IGF2	IGFBP3
ANK2	DNAJB1
ANK2	SPTBN1
IGF2	PLG
E2F4	NOLC1
CLCN1	CLCN1
UROD	UROD
GPC3	WNT3A
ATXN1	KLHL8
GPC3	WNT7B
ARR3	OPN4
ARR3	OPN1MW
ARR3	FSHR
HTR1F	CAV1
KCNA2	CNTNAP2
CETP	CETP
KCNA2	KCNA2
ACTA1	ACTA1
GNAI2	CHRM1
POU3F4	POU3F4
POU3F4	POU3F3
POU3F4	POU3F2
POU3F4	POU3F1
TTR	TTR
GUCY2F	GUCY2F
CHRM2	CHRM2
U2AF2	PUF60
KCNJ2	DLG2
ATXN1	KLHL12
KCNJ2	FLNA
NUP98	SEC13
SPRR1A	ACTA1
PRKACA	PTBP1
GUCA1A	GUCY2D
DRP2	UTRN
PIK3R1	CHRNA7
TIMP1	MMP2
CD44	PKN1
VAMP7	DNAJC5
SCGB1A1	LMBR1L
CDY1	HIST4H4
CDY1	HIST2H2AC
ADCY6	CHRNA7
FOXG1	SMAD3
CD47	FAS
FOXG1	SMAD4
FOXG1	SMAD2
CD38	CD9
GABRA3	UBQLN1
AMBP	AMBP
ITGB5	MYO10
ATXN1	ATXN1
VAMP7	STX4
PTPN4	PRSS1
APOA4	APOA4
CHRDL1	BMP4
FGF13	SCN8A
ADCY7	PRKCD
SRC	VIL1
PTPN6	TFG
PKN1	CDC25C
VCAN	VCAN
FGF13	FGF13
ISG15	UBA7
CSF2RA	RPSA
PTPN6	ACTN1
CSF2RA	IKBKB
CYBB	IQGAP1
CYBB	ACTG1
USP9X	DCX
FBN1	VCAN
S100A1	S100A1
GPC1	APP
F8	MCFD2
F8	ASGR2
FGF3	RPS2
CAV2	DRD1
DUSP1	HSPA4
ITGB1	VCAN
EPHA8	EFNA1
ASGR2	ASGR2
L1CAM	RANBP9
IFI6	CIB1
DGKD	DGKD
MSLN	MUC16
ACADVL	ACADVL
FBLN1	VCAN
OCRL	CLTC
PRKCA	DGKD
OCRL	CDC42
OCRL	RAC1
MAPK1	DUSP2
FBLN2	VCAN
S100A5	S100A5
ADSS	ACTA1
CXCL10	VCAN
AIF1	LCP1
SSTR1	PRMT5
EFNA5	EPHB2
S100A2	TP53
S100A2	S100A2
EFNA5	EPHA7
CCL2	VCAN
TNFAIP6	THBS1
SSTR2	GNA14
MAOA	MAOA
PLA2G2A	VCAN
NDP	NDP
CCR6	DEFB1
PEX5	SCARB1
LIG4	SMC2
SELP	VCAN
ATP5C1	ATP5A1
ATP5C1	ATP5B
BRD2	HIST4H4
BRD2	HIST3H2BB
WNK4	CLDN1
WNK4	CLDN2
ELAVL4	GAP43
WNK4	CLDN3
WNK4	CLDN4
CCL5	VCAN
ACLY	PRKACA
ACLY	GSK3B
ODF1	ODF1
SHH	HHIP
PLEC1	GNB2L1
BCHE	BCHE
ITGA4	VCAN
SYK	IL15RA
ATP2B1	CALM1
PLEC1	ITGA6
ATP2B4	PPP3CA
ATP2B4	RASSF1
PAFAH1B1	MAP1B
RS1	RS1
XCL1	VCAN
MAPK14	NCOA3
HTR2C	HTR2C
ARHGEF1	CNKSR1
ARHGEF1	ARHGEF1
CCL20	VCAN
PHACTR1	PPP1CA
ATP2A2	ATP2A2
CUGBP1	DMPK
PAFAH1B1	TUBA1A
PAFAH1B1	MAP2
TNR	VCAN
PRKCQ	IRS1
PRKCG	IRS1
RFXAP	SMARCA4
RFX5	HDAC2
NINJ1	NINJ1
TGFBR3	ARRB2
PLOD2	PLOD2
CCL8	VCAN
MUSK	RAPSN
SATB1	SATB1
SEMA4D	SEMA4D
AP4M1	LAMP2
TGFBR3	ENG
DNASE1	ACTA1
CCL21	VCAN
ASAH1	SMPD1
SOD3	FBLN5
ALDOB	ALDOB
EPCAM	EPCAM
ADAMTS1	VCAN
ALDH3A1	ALDH3A1
ACTN2	ACTN2
PSEN1	PSEN1
SAA2	SAA2
APOC1	APOC1
APEX1	APEX1
AQP1	AQP1
ST6GAL1	ST6GAL1
CD79A	CD79A
RABGGTB	CHML
C5AR1	C5AR1
CSNK2A1	CSNK2A1
CDKN1A	CDKN1A
CGA	CGA
COL10A1	COL10A1
COL12A1	COL12A1
COL13A1	COL13A1
MMP9	MMP9
MSX2	MSX2
RAB3A	CHML
CKMT2	CKMT2
CRYAA	CRYAA
CRYAB	CRYAB
CRYBA1	CRYBA1
CRYBB2	CRYBB2
CRYGC	CRYGC
EZR	EZR
IL10	IL10
CD55	CD55
NQO1	NQO1
RAB1A	CHML
EEF1D	EEF1D
FGF1	FGF1
NID1	NID1
NR2F6	NR2F6
STOM	STOM
RUNX1T1	RUNX1T1
EXT1	EXT1
EXT2	EXT2
RAB5A	CHML
GSTP1	GSTP1
FTH1	FTH1
FGA	FGA
FBLN1	FBLN1
FSHB	FSHB
GSR	GSR
CEBPG	CEBPG
GNAI3	GNAI3
HSF1	HSF1
RAB6A	CHML
HMOX1	HMOX1
HBB	HBB
H2AFZ	H2AFZ
HOXA10	HOXA10
FCER1A	FCER1A
INHBA	INHBA
MX2	MX2
LDHB	LDHB
BCR	BCR
CGB	CGA
MDH2	MDH2
MDH1	MDH1
MBL2	MBL2
MAP2	MAP2
MLL	MLL
MYOG	MYOG
MYF5	MYF5
NEFL	NEFL
NPY2R	NPY2R
FSHB	CGA
POU2F2	POU2F2
REL	REL
NOTCH4	NOTCH4
JUNB	JUNB
SKIL	SKIL
PEPD	PEPD
PLA2G2A	PLA2G2A
PKD2	PKD2
F2	F2
TYK2	TYK2
LHB	CGA
RAB3A	RAB3A
RCC1	RCC1
DPEP1	DPEP1
RPA1	RPA1
RPA3	RPA3
RRM1	RRM1
RYR1	RYR1
HTR1B	HTR1B
UTRN	ACTA1
LHCGR	CGA
HTR1D	HTR1D
CCL4	CCL4
SRI	SRI
CD8B	CD8B
PSMC3	PSMC3
THBS3	THBS3
TBXA2R	TBXA2R
THY1	THY1
TG	TG
ATXN1	ATXN2
TFCP2	TFCP2
GTF2F2	GTF2F2
ERBB3	ERBB3
TGFBR2	TGFBR2
TGFB2	TGFB2
TPM3	TPM3
TSHB	CGA
TNFAIP1	TNFAIP1
DCT	DCT
CDH1	CDH1
ITGA4	ITGA4
AGA	AGA
DBH	DBH
F7	F7
F10	F10
FBP1	FBP1
FSHB	CGB
NCF1	NCF1
GLDC	GLDC
LTC4S	LTC4S
MUT	MUT
FIGF	FIGF
GLUD2	GLUD2
TRPC5	TRPC5
SLC9A7	SLC9A7
TREX2	TREX2
LHCGR	CGB
SH3KBP1	SH3KBP1
WAS	WAS
MSN	MSN
ARAF	ARAF
SAT1	SAT1
TAF1	TAF1
TFE3	TFE3
TNS1	TNS1
SERPINF2	CTRB1
PDE4A	PDE4A
PDE4D	PDE4D
LCN2	LCN2
SS18	SS18
CENPF	CENPF
XCL1	XCL1
COIL	COIL
CDX2	CDX2
SMN1	SMN1
CSTF1	CSTF1
SERPINA1	CTRB1
ID2	ID2
MEP1A	MEP1A
MEP1B	MEP1B
USF2	USF2
FAP	FAP
SSBP1	SSBP1
SREBF2	SREBF2
SUB1	SUB1
RECQL	RECQL
CMA1	MMP1
CCBL1	CCBL1
CLCN3	CLCN3
LGALS3BP	LGALS3BP
MEF2A	MEF2A
MEF2D	MEF2D
SHH	SHH
SELPLG	SELPLG
SYT5	SYT5
PVRL2	PVRL2
CMA1	EDN3
FXR1	FXR1
RORA	RORA
KCNJ6	KCNJ6
FGF9	FGF9
PPOX	PPOX
GFER	GFER
HAP1	HAP1
LTB	LTB
CMA1	PFN1
CUGBP1	CUGBP1
SLA	SLA
CAPRIN1	CAPRIN1
CASR	CASR
SIX1	SIX1
PCBP2	PCBP2
BIN1	BIN1
FCN1	FCN1
EPB41	ACTA1
CMA1	KITLG
SNX1	SNX1
SEMA3B	SEMA3B
LIMK1	LIMK1
RFX3	RFX3
CDH13	CDH13
VEGFB	VEGFB
MYBL2	MYBL2
CHI3L1	CHI3L1
CMA1	EDN1
VEGFC	VEGFC
PITX2	PITX2
PAFAH1B1	PAFAH1B1
OAZ1	OAZ1
SMARCB1	SMARCB1
TBX3	TBX3
NSF	NSF
ALCAM	ALCAM
CMA1	EDN2
VASP	VASP
STAU1	STAU1
KCNK1	KCNK1
VDR	VDR
MSTN	MSTN
NME3	NME3
ATXN1	METT11D1
B4GALNT1	B4GALNT1
BID	BID
PHYH	PHYH
NRP1	NRP1
DAP3	DAP3
TRPV1	TRPV1
CLDN5	CLDN5
MATN3	MATN3
IL6R	CNTF
NDN	NDN
RGS3	RGS3
ERP29	ERP29
RANGAP1	RANGAP1
NPTX1	NPTX1
SULT1C2	SULT1C2
GCHFR	GCHFR
GOLGA3	GOLGA3
LIFR	CNTF
CDSN	CDSN
CTBP2	CTBP2
PDE2A	PDE2A
CASP4	CASP4
PLIN3	PLIN3
TNFRSF14	TNFRSF14
NR6A1	NR6A1
PRMT1	PRMT1
IL6ST	CNTF
TSC22D3	TSC22D3
BCAS1	BCAS1
GP2	GP2
CDH6	CDH6
SPAG4	SPAG4
MNT	MNT
SUMO2	SUMO2
PLOD3	PLOD3
HNRNPL	HNRNPL
CNTF	CNTFR
SLC31A1	SLC31A1
TCF20	TCF20
S100A11	S100A11
CUL1	CUL1
IL17A	IL17A
DAXX	DAXX
MVD	MVD
BNIP3	BNIP3
CDK6	CDK6
CDK5R1	CDK5R1
RPS19	RPS19
AP1G1	AP1G1
TRPM1	TRPM1
PCDH8	PCDH8
LIFR	CNTFR
SLC24A1	SLC24A1
TRPC6	TRPC6
RPS27	RPS27
CER1	CER1
AXIN1	AXIN1
HIC1	HIC1
ZNF174	ZNF174
CCIN	CCIN
EGFR	ACTA1
IL6ST	CNTFR
ERN1	ERN1
NEK2	NEK2
UTS2	UTS2
SLC25A11	SLC25A11
SIGLEC5	SIGLEC5
CPNE1	CPNE1
TRIP13	TRIP13
CRLF1	CNTFR
KIF2C	KIF2C
HSBP1	HSBP1
CADPS	CADPS
STK16	STK16
SH2D3A	SH2D3A
HPSE	HPSE
STK17A	STK17A
STK17B	STK17B
TFEC	TFEC
PRDX3	PRDX3
CLCF1	CNTFR
COX17	COX17
LRAT	LRAT
PCSK7	PCSK7
MAFF	MAFF
DGAT1	DGAT1
SHANK1	SHANK1
TARBP2	TARBP2
MKNK2	MKNK2
CRYAA	CS
GABARAP	GABARAP
FHL5	FHL5
OPTC	OPTC
TLE4	TLE4
GDF15	GDF15
APPBP2	APPBP2
TAX1BP1	TAX1BP1
CFHR4	CFHR4
CRYAB	CS
FXR2	FXR2
RETN	RETN
UBE2C	UBE2C
CADM1	CADM1
NUP62	NUP62
STRAP	STRAP
-	-
IKZF3	IKZF3
PSMD2	PSMD2
IKZF2	IKZF2
MDH2	CS
IKZF5	IKZF5
IKZF4	IKZF4
PRDX4	PRDX4
PACSIN1	PACSIN1
DEFB103A	DEFB103A
GNMT	GNMT
TKT	TKT
SPIB	SPIB
GORASP1	GORASP1
DYNLL1	CS
FHOD1	FHOD1
BCL2L10	BCL2L10
SCAMP1	SCAMP1
RASSF5	RASSF5
KIRREL	KIRREL
FGFBP1	FGFBP1
BEGAIN	BEGAIN
ATXN1	CCDC136
G3BP1	G3BP1
GIT1	GIT1
ODZ1	ODZ1
PSTPIP2	PSTPIP2
TMLHE	TMLHE
SLC12A2	SLC12A2
PEBP1	PEBP1
CLTC	CLTC
CDT1	CDT1
MED8	MED8
LYPLA1	LYPLA1
AKR1C1	AKR1C1
PVRL1	PVRL1
RFWD2	RFWD2
B3GAT3	B3GAT3
CLTA	CLTC
ENPEP	ENPEP
CD81	CD81
UBA52	UBA52
CNGA2	CNGA2
ADCY5	ADCY5
KCNB1	KCNB1
KCNJ5	KCNJ5
DAZL	DAZL
GSN	ACTA1
XRCC6	CLTC
HCN1	HCN1
FHL3	FHL3
CPN1	CPN1
ICOS	ICOS
SOX13	SOX13
PPP2R3A	PPP2R3A
ATXN1	WNK2
ITGB3BP	ITGB3BP
VAPA	VAPA
VAPB	VAPB
ARHGEF11	ARHGEF11
FGL1	FGL1
KCNN2	KCNN2
SNX2	SNX2
POP7	POP7
ATXN1	SMARCC2
NPHP1	NPHP1
PUM2	PUM2
SEMA4A	SEMA4A
PRKRIR	PRKRIR
ARSA	ARSA
DCTD	DCTD
AFAP1	AFAP1
SYNE1	SYNE1
VPS18	VPS18
ATXN1	SREBF1
TIFA	TIFA
COL25A1	COL25A1
CNDP2	CNDP2
CREB5	CREB5
EMID1	EMID1
LRRC4	LRRC4
SSNA1	SSNA1
VPS39	VPS39
ZHX3	ZHX3
ZNF197	ZNF197
ATXN1	C2orf3
TRPM7	TRPM7
ZBTB7A	ZBTB7A
DZIP3	DZIP3
C1QTNF5	C1QTNF5
EIF2AK1	EIF2AK1
PRPF6	PRPF6
ATXN1	TRAF2
ANGPTL7	ANGPTL7
E2F7	E2F7
MTUS1	MTUS1
TESC	TESC
TXNDC2	TXNDC2
TPM2	TPM2
GPX2	GPX2
IGHD	IGHD
KIT	CLTC
NT5C	NT5C
PLXNA1	PLXNA1
C19orf2	C19orf2
SYT13	SYT13
VPS16	VPS16
ACY3	ACY3
ADSSL1	ADSSL1
BLOC1S3	BLOC1S3
ATXN1	TRIP6
EBPL	EBPL
ELTD1	ELTD1
GMPPA	GMPPA
KLHL20	KLHL20
LRIT1	LRIT1
OXCT2	OXCT2
PYCRL	PYCRL
ATXN1	UBE2I
SCARF2	SCARF2
UPK1A	UPK1A
P2RX2	P2RX2
PPP1R9A	PPP1R9A
PLAGL1	PLAGL1
ENTPD5	ENTPD5
EXOSC4	EXOSC4
HAVCR2	HAVCR2
NADSYN1	NADSYN1
ATXN1	VSNL1
TICAM2	TICAM2
PTH2	PTH2
TRAM2	TRAM2
BHLHA15	BHLHA15
ZHX2	ZHX2
PDXP	PDXP
VWA2	VWA2
DNTTIP1	DNTTIP1
DTX2	DTX2
MYLK	ACTC1
GC	ACTA1
VCL	CLTC
DTX3	DTX3
DTX3L	DTX3L
FEM1B	FEM1B
CCDC91	CCDC91
NADK	NADK
MKI67IP	MKI67IP
MOAP1	MOAP1
MUC20	MUC20
NLK	NLK
PCBD2	PCBD2
ATXN1	ZYX
RPP14	RPP14
TPPP	TPPP
ASCL3	ASCL3
EPCAM	CLDN7
CHEK1	MDM4
CHEK2	MDM4
ARR3	CLTC
AKT1	MDM4
SSBP1	LDB1
ATM	MDM4
MAP2K3	DYRK1B
MAPK1	SLC9A1
MAP3K10	CLTC
P2RY2	KDR
GCDH	GCDH
P2RY2	SRC
CDX1	LEF1
MAPK1	GRB10
EPHA3	ADAM10
WNT7A	FZD9
MFAP5	FBN2
AP1B1	CLTC
MFAP5	MEGF6
SIGLEC1	MUC1
HNRNPA1	PABPN1
PDPK1	ILK
PCCB	PCCB
ANK3	PIK3R1
PCCB	PCCA
ANK3	HOOK1
AMPH	CLTC
PROX1	NR5A2
AGL	PRKAB1
ABLIM1	ACTG1
CDK1	RCC1
ABCC2	PDZD3
ATXN1	BAT2
DFFA	CASP7
DEFA5	PRSS1
EFEMP1	TIMP3
CNTNAP1	SRC
NCF2	S100A8
CNTNAP1	FYN
HIP1	CLTC
GRM8	PIAS2
TCEB3	MED21
CAMLG	PKHD1
PRCC	MAD2L2
PRCC	SFRS2
AKT1	EZH2
NDN	HIF1A
LPL	LPL
DFFB	DFFB
ATXN1	FAT4
RELN	RELN
LPL	CALR
CLIP1	MTOR
ANXA7	PDCD6
FXYD1	DMPK
MAPK14	EEA1
CLPP	CLPP
GAK	CLTC
MAPK14	ZFYVE20
RPE65	RBP4
CCL16	HRH4
GATM	GATM
EZH2	SUZ12
SRC	CDH5
ITPKA	ACTA1
AP3B2	CLTC
PTPRS	PTPRE
PTPRS	PTPRM
PXN	CLTC
CASP1	AR
CASP1	ATN1
PTPRS	KAT5
NPTX1	RCN2
DOCK1	RAC1
DOCK1	ELMO1
LRP2	LCN2
SLC6A2	PPP2R1A
CACNA1A	GNB1
CCNG1	PPP2CA
ATXN1	CPSF7
CDK2	SMAD3
CDK4	SMAD3
SLC6A2	STX1A
MAPK1	GAB1
MAPK3	GAB1
DNM2	PTK2
DNM2	SNX9
OAZ1	OAZ3
NHLH2	LMO3
ATXN1	MYST3
DAPK3	CDKN1A
MTRR	MMAB
OXTR	OXTR
GRIN2D	CLTC
ANXA11	ALG2
RAPSN	CHRNB1
TJP1	ARVCF
TJP1	TRPC4
PTPRD	PTPRE
PTPRD	PTPRF
ATXN1	RHOXF2
GSS	GSS
PIGF	PIGG
TNXB	VEGFB
TNXB	VEGFA
ANXA7	PRKCA
ANXA7	PRKCB
ANXA7	PRKCG
PTPRU	GNAO1
CD6	SDCBP
AP3B1	CLTC
CD6	ALCAM
TLR1	TLR5
TLR1	TLR9
PRDM2	HIST3H3
RAD51C	RAD51L3
TLX1	PPP2CA
ATXN1	KLF11
MEFV	PSTPIP1
SQSTM1	KCNAB2
DGKZ	SRC
SQSTM1	GABRR2
TLX1	PPP1CB
TLX1	PKNOX1
TLX1	MEIS1
TUB	GNAQ
AP1G1	CLTC
TLX1	TLX1
TLX1	NFIC
CD3D	AP2M1
SQSTM1	GABRR1
SMARCB1	PPP1CC
RLBP1	SLC9A3R1
ATXN1	BAT2L1
MMRN1	F5
ARID4A	SIN3A
BCL9	CTNNB1
F2RL3	F2RL2
ABL1	WASL
MYL1	ACTA1
RXRB	TACC2
PSMC3	CDKN2A
PKD1	JAK2
NVL	RPL5
E4F1	RASSF1
PTK2B	ERBB3
ATXN1	ZC3H10
UCN	LEP
PTK2B	FGFR3
RDH5	RDH5
RNASEL	AR
TOM1	CLTC
HSF4	HSF4
ANK1	CD44
TLR2	SFTPA1
ANK1	ITPR3
TLR2	HMGB1
PRKCD	SDC4
COLQ	MUSK
ATXN1	C1orf94
AKT1	CCDC88A
SIM2	PARK2
FKBP3	CSNK2A1
FKBP3	CSNK2A2
FKBP3	CSNK2B
PYY	NPY1R
ATXN1	KCNAB2
PYY	NPY5R
BUB1	CDC20
GPAA1	PIGU
AKT1	SH2B2
PCP4	CALM1
LDLRAP1	CLTC
TRAF4	MAP3K4
STIL	PIN1
TCEB2	ASB8
TCEB2	ASB2
HMMR	CD44
PSMD4	UBC
PTX3	FGF2
HMMR	TPX2
